"","country","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","vaccines","source_name","source_website","max_full_vac"
"427","Falkland Islands","FLK",2021-02-23,NA,NA,NA,NA,29,NA,NA,NA,8326,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"428","Falkland Islands","FLK",2021-02-24,NA,NA,NA,NA,26,NA,NA,NA,7465,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"429","Falkland Islands","FLK",2021-02-25,NA,NA,NA,NA,24,NA,NA,NA,6891,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"430","Falkland Islands","FLK",2021-02-26,NA,NA,NA,NA,21,NA,NA,NA,6029,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"431","Falkland Islands","FLK",2021-02-27,NA,NA,NA,NA,19,NA,NA,NA,5455,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"432","Falkland Islands","FLK",2021-02-28,NA,NA,NA,NA,17,NA,NA,NA,4881,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"433","Falkland Islands","FLK",2021-03-01,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"434","Falkland Islands","FLK",2021-03-02,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"435","Falkland Islands","FLK",2021-03-03,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"436","Falkland Islands","FLK",2021-03-04,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"437","Falkland Islands","FLK",2021-03-05,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"438","Falkland Islands","FLK",2021-03-06,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"439","Falkland Islands","FLK",2021-03-07,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"440","Falkland Islands","FLK",2021-03-08,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"441","Falkland Islands","FLK",2021-03-09,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"442","Falkland Islands","FLK",2021-03-10,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"443","Falkland Islands","FLK",2021-03-11,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"444","Falkland Islands","FLK",2021-03-12,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"445","Falkland Islands","FLK",2021-03-13,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"446","Falkland Islands","FLK",2021-03-14,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"447","Falkland Islands","FLK",2021-03-15,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"448","Falkland Islands","FLK",2021-03-16,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"449","Falkland Islands","FLK",2021-03-17,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"450","Falkland Islands","FLK",2021-03-18,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"451","Falkland Islands","FLK",2021-03-19,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"452","Falkland Islands","FLK",2021-03-20,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"453","Falkland Islands","FLK",2021-03-21,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"454","Falkland Islands","FLK",2021-03-22,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"455","Falkland Islands","FLK",2021-03-23,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"456","Falkland Islands","FLK",2021-03-24,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"457","Falkland Islands","FLK",2021-03-25,NA,NA,NA,NA,14,NA,NA,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"458","Falkland Islands","FLK",2021-03-26,2187,2187,NA,NA,14,62.79,62.79,NA,4020,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"459","Falkland Islands","FLK",2021-03-27,NA,NA,NA,NA,38,NA,NA,NA,10910,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"460","Falkland Islands","FLK",2021-03-28,NA,NA,NA,NA,61,NA,NA,NA,17514,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"461","Falkland Islands","FLK",2021-03-29,NA,NA,NA,NA,84,NA,NA,NA,24117,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"462","Falkland Islands","FLK",2021-03-30,NA,NA,NA,NA,108,NA,NA,NA,31008,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"463","Falkland Islands","FLK",2021-03-31,NA,NA,NA,NA,131,NA,NA,NA,37611,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"464","Falkland Islands","FLK",2021-04-01,NA,NA,NA,NA,155,NA,NA,NA,44502,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"465","Falkland Islands","FLK",2021-04-02,NA,NA,NA,NA,178,NA,NA,NA,51105,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"466","Falkland Islands","FLK",2021-04-03,NA,NA,NA,NA,178,NA,NA,NA,51105,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"467","Falkland Islands","FLK",2021-04-04,NA,NA,NA,NA,178,NA,NA,NA,51105,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"468","Falkland Islands","FLK",2021-04-05,NA,NA,NA,NA,178,NA,NA,NA,51105,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"469","Falkland Islands","FLK",2021-04-06,NA,NA,NA,NA,178,NA,NA,NA,51105,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"470","Falkland Islands","FLK",2021-04-07,4322,2605,1717,NA,178,124.09,74.79,49.3,51105,"Oxford/AstraZeneca","Government of the Falkland Islands","https://www.facebook.com/FalkIandsGov/posts/4381068675240759",49.3
"471","Gibraltar","GIB",2021-01-10,420,420,NA,NA,NA,1.25,1.25,NA,NA,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"472","Gibraltar","GIB",2021-01-11,1445,1445,NA,1025,1025,4.29,4.29,NA,30424,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"473","Gibraltar","GIB",2021-01-12,2501,2501,NA,1056,1040,7.42,7.42,NA,30869,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"474","Gibraltar","GIB",2021-01-13,NA,NA,NA,NA,986,NA,NA,NA,29266,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"475","Gibraltar","GIB",2021-01-14,NA,NA,NA,NA,959,NA,NA,NA,28465,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"476","Gibraltar","GIB",2021-01-15,5135,5135,NA,NA,943,15.24,15.24,NA,27990,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"477","Gibraltar","GIB",2021-01-16,5847,5847,NA,712,904,17.35,17.35,NA,26832,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"478","Gibraltar","GIB",2021-01-17,5847,5847,NA,0,775,17.35,17.35,NA,23003,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"479","Gibraltar","GIB",2021-01-18,6435,6435,NA,588,713,19.1,19.1,NA,21163,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"480","Gibraltar","GIB",2021-01-19,7017,7017,NA,582,645,20.83,20.83,NA,19145,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"481","Gibraltar","GIB",2021-01-20,7017,7017,NA,0,520,20.83,20.83,NA,15434,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"482","Gibraltar","GIB",2021-01-21,7947,7947,NA,930,527,23.59,23.59,NA,15642,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"483","Gibraltar","GIB",2021-01-22,8877,8877,NA,930,535,26.35,26.35,NA,15880,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"484","Gibraltar","GIB",2021-01-23,9807,9807,NA,930,566,29.11,29.11,NA,16800,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"485","Gibraltar","GIB",2021-01-24,10341,10341,NA,534,642,30.69,30.69,NA,19056,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"486","Gibraltar","GIB",2021-01-25,10539,10539,NA,198,586,31.28,31.28,NA,17393,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"487","Gibraltar","GIB",2021-01-26,11073,11073,NA,534,579,32.87,32.87,NA,17186,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"488","Gibraltar","GIB",2021-01-27,11607,11073,NA,534,656,34.45,32.87,NA,19471,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"489","Gibraltar","GIB",2021-01-28,12332,12332,NA,725,626,36.6,36.6,NA,18581,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"490","Gibraltar","GIB",2021-01-29,12866,12866,NA,534,570,38.19,38.19,NA,16918,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"491","Gibraltar","GIB",2021-01-30,12866,12866,NA,0,437,38.19,38.19,NA,12971,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"492","Gibraltar","GIB",2021-01-31,13286,12886,400,420,421,39.43,38.25,1.19,12496,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"493","Gibraltar","GIB",2021-02-01,14299,12974,1325,1013,537,42.44,38.51,3.93,15939,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"494","Gibraltar","GIB",2021-02-02,15391,13071,2320,1092,617,45.68,38.8,6.89,18313,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"495","Gibraltar","GIB",2021-02-03,16177,13166,3011,786,653,48.02,39.08,8.94,19382,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"496","Gibraltar","GIB",2021-02-04,17189,13246,3943,1012,694,51.02,39.32,11.7,20599,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"497","Gibraltar","GIB",2021-02-05,18274,13398,4876,1085,773,54.24,39.77,14.47,22944,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"498","Gibraltar","GIB",2021-02-06,19072,13499,5573,798,887,56.61,40.07,16.54,26328,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"499","Gibraltar","GIB",2021-02-07,19072,13499,5573,0,827,56.61,40.07,16.54,24547,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"500","Gibraltar","GIB",2021-02-08,20044,13904,6140,972,821,59.49,41.27,18.22,24369,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"501","Gibraltar","GIB",2021-02-09,21021,14302,6719,977,804,62.39,42.45,19.94,23864,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"502","Gibraltar","GIB",2021-02-10,21999,15262,6737,978,832,65.3,45.3,20,24695,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"503","Gibraltar","GIB",2021-02-11,23103,15436,7667,1104,845,68.57,45.82,22.76,25081,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"504","Gibraltar","GIB",2021-02-12,24195,15600,8595,1092,846,71.81,46.3,25.51,25111,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"505","Gibraltar","GIB",2021-02-13,25287,15765,9522,1092,888,75.06,46.79,28.26,26357,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"506","Gibraltar","GIB",2021-02-14,25941,15888,10053,654,981,77,47.16,29.84,29118,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"507","Gibraltar","GIB",2021-02-15,26379,16135,10244,438,905,78.3,47.89,30.41,26862,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"508","Gibraltar","GIB",2021-02-16,27033,16261,10772,654,859,80.24,48.27,31.97,25496,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"509","Gibraltar","GIB",2021-02-17,27687,16384,11303,654,813,82.18,48.63,33.55,24131,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"510","Gibraltar","GIB",2021-02-18,28778,16725,12053,1091,811,85.42,49.64,35.78,24072,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"511","Gibraltar","GIB",2021-02-19,29334,16761,12573,556,734,87.07,49.75,37.32,21786,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"512","Gibraltar","GIB",2021-02-20,29334,16761,12573,0,578,87.07,49.75,37.32,17156,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"513","Gibraltar","GIB",2021-02-21,30432,17826,12606,1098,642,90.33,52.91,37.42,19056,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"514","Gibraltar","GIB",2021-02-22,31631,18902,12729,1199,750,93.89,56.1,37.78,22261,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"515","Gibraltar","GIB",2021-02-23,32705,19859,12846,1074,810,97.07,58.94,38.13,24042,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"516","Gibraltar","GIB",2021-02-24,33371,20443,12928,666,812,99.05,60.68,38.37,24101,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"517","Gibraltar","GIB",2021-02-25,34600,21591,13009,1229,832,102.7,64.09,38.61,24695,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"518","Gibraltar","GIB",2021-02-26,35890,22712,13178,1290,937,106.53,67.41,39.11,27812,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"519","Gibraltar","GIB",2021-02-27,36808,23518,13290,918,1068,109.25,69.8,39.45,31700,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"520","Gibraltar","GIB",2021-02-28,36808,23518,13290,0,911,109.25,69.8,39.45,27040,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"521","Gibraltar","GIB",2021-03-01,NA,NA,NA,NA,829,NA,NA,NA,24606,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"522","Gibraltar","GIB",2021-03-02,38056,24352,13704,NA,764,112.96,72.28,40.68,22677,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"523","Gibraltar","GIB",2021-03-03,39322,25221,14101,1266,850,116.71,74.86,41.85,25229,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"524","Gibraltar","GIB",2021-03-04,40652,25629,15023,1330,865,120.66,76.07,44.59,25675,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"525","Gibraltar","GIB",2021-03-05,41318,26163,15155,666,775,122.64,77.66,44.98,23003,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"526","Gibraltar","GIB",2021-03-06,42548,27145,15403,1230,820,126.29,80.57,45.72,24339,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"527","Gibraltar","GIB",2021-03-07,43712,28140,15572,1164,986,129.74,83.52,46.22,29266,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"528","Gibraltar","GIB",2021-03-08,43712,28140,15572,0,897,129.74,83.52,46.22,26624,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"529","Gibraltar","GIB",2021-03-09,44240,28431,15809,528,883,131.31,84.39,46.92,26209,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"530","Gibraltar","GIB",2021-03-10,44894,28932,15962,654,796,133.25,85.87,47.38,23626,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"531","Gibraltar","GIB",2021-03-11,44894,28932,15962,0,606,133.25,85.87,47.38,17987,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"532","Gibraltar","GIB",2021-03-12,45488,28971,16517,594,596,135.02,85.99,49.02,17690,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"533","Gibraltar","GIB",2021-03-13,46136,29610,16526,648,513,136.94,87.89,49.05,15227,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"534","Gibraltar","GIB",2021-03-14,46136,29610,16526,0,346,136.94,87.89,49.05,10270,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"535","Gibraltar","GIB",2021-03-15,47210,29631,17579,1074,500,140.13,87.95,52.18,14841,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"536","Gibraltar","GIB",2021-03-16,48296,29667,18629,1086,579,143.35,88.06,55.29,17186,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"537","Gibraltar","GIB",2021-03-17,49328,29749,19579,1032,633,146.41,88.3,58.11,18788,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"538","Gibraltar","GIB",2021-03-18,49981,29834,20147,653,727,148.35,88.55,59.8,21578,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"539","Gibraltar","GIB",2021-03-19,51163,29913,21250,1182,811,151.86,88.79,63.07,24072,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"540","Gibraltar","GIB",2021-03-20,52331,30038,22293,1168,885,155.33,89.16,66.17,26268,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"541","Gibraltar","GIB",2021-03-21,53171,30119,23052,840,1005,157.82,89.4,68.42,29830,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"542","Gibraltar","GIB",2021-03-22,53171,30119,23052,0,852,157.82,89.4,68.42,25289,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"543","Gibraltar","GIB",2021-03-23,53861,30170,23691,690,795,159.87,89.55,70.32,23597,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"544","Gibraltar","GIB",2021-03-24,54587,30232,24355,726,751,162.02,89.73,72.29,22291,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"545","Gibraltar","GIB",2021-03-25,55877,30671,25206,1290,842,165.85,91.04,74.82,24992,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"546","Gibraltar","GIB",2021-03-26,56536,30800,25736,659,768,167.81,91.42,76.39,22795,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"547","Gibraltar","GIB",2021-03-27,57646,30944,26702,1110,759,171.1,91.85,79.26,22528,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"548","Gibraltar","GIB",2021-03-28,58756,31094,27662,1110,798,174.4,92.29,82.11,23686,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"549","Gibraltar","GIB",2021-03-29,59050,31098,27952,294,840,175.27,92.3,82.97,24932,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"550","Gibraltar","GIB",2021-03-30,NA,NA,NA,NA,788,NA,NA,NA,23389,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"551","Gibraltar","GIB",2021-03-31,59698,31206,28492,NA,730,177.19,92.62,84.57,21668,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"552","Gibraltar","GIB",2021-04-01,60265,31739,28256,567,627,178.88,94.21,83.87,18610,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"553","Gibraltar","GIB",2021-04-02,60907,32293,28614,642,624,180.78,95.85,84.93,18521,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"554","Gibraltar","GIB",2021-04-03,62341,32895,29446,1434,671,185.04,97.64,87.4,19916,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"555","Gibraltar","GIB",2021-04-04,NA,NA,NA,NA,528,NA,NA,NA,15672,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"556","Gibraltar","GIB",2021-04-05,NA,NA,NA,NA,502,NA,NA,NA,14900,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"557","Gibraltar","GIB",2021-04-06,NA,NA,NA,NA,472,NA,NA,NA,14010,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"558","Gibraltar","GIB",2021-04-07,NA,NA,NA,NA,442,NA,NA,NA,13119,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
"559","Gibraltar","GIB",2021-04-08,NA,NA,NA,NA,377,NA,NA,NA,11190,"Pfizer/BioNTech","Government of Gibraltar","https://twitter.com/GibraltarGov/status/1381171320755478530",88.42
